question,option_a,option_b,option_c,option_d,answer,explanation,source
"關於「莒光園地」電視教學，若精神不濟打瞌睡，可能會受到何種處置？","被叫起來罰站","送醫","記功","放榮譽假","A","莒光日視同正式操課，打瞌睡會被幹部叫起罰站以提振精神。","政戰實務工作"
"新兵入伍訓練的最後階段，通常會進行為期幾天的「鑑測」？","1天","2-3天","1週","1個月","B","新訓結訓鑑測（期末測驗）通常安排在最後一週的連續 2-3 天進行。","新兵入伍訓練實施計畫"
"下列何者是「值星班長」身上配戴的識別物？","紅色背帶","藍白紅三色背帶","全綠色背帶","黃色臂章","B","值星班長配戴「青天白日滿地紅」（藍白紅）三色值星帶。","國軍內部管理實務"
"若役男有憂鬱或自殺傾向，應優先通報部隊中的哪個角色？","食勤兵","心輔官（輔導長）","福利社阿姨","門口衛兵","B","連輔導長（POA）是連隊的心輔第一線人員，負責關懷與轉介輔導。","國軍心理衛生工作指導要點"
"在單兵戰鬥教練中，通過「敵火下」通常採用何種移動方式？","大步奔跑","低姿匍匐或高姿匍匐","騎腳踏車","散步","B","為避免遭敵火擊中，在敵火下應採低姿勢（匍匐前進）利用地形掩蔽移動。","單兵戰鬥教練手冊"
"關於「內務標齊對正」，牙刷與牙膏的擺放方向通常為何？","隨便放","牙刷頭朝內，牙膏蓋朝前","牙刷頭朝外，牙膏蓋朝後","統一朝向某一特定方向（依單位規定）","D","各單位規定略有不同，但原則是「統一方向、整齊劃一」（常見為刷頭朝內/外統一）。","內務教則"
"新訓期間若遇「生理假」（女性役男或教召員），依規定可請幾天？","1天","3天","7天","每月1天","D","女性官兵因生理期不適，每月得請生理假1日（不併入病假計算）。","性別工作平等法/國軍請假規則"
"軍用雨衣通常被稱為什麼？","小飛俠","蝙蝠俠","黃色小鴨","塑膠袋","A","軍用雙濕牌雨衣（舊式）或斗篷式雨衣，因外型寬大，俗稱「小飛俠」。","[軍中小熱知識] 裝備"
"軍人行舉手禮（敬禮）時，手指應呈現何種狀態？","五指張開","握拳","五指併攏伸直","比讚","C","依據基本教練規定，敬禮時五指應併攏伸直，中指微貼帽簷或眉梢。","國軍基本教練"
"在軍中聽到「稍息」口令時，雙手應置於何處？","身體兩側","背後腰帶處","口袋內","抱胸","B","稍息時，雙手伸直置於背後，左手握右拳（或依各軍種規定），置於腰帶上緣。","國軍基本教練"
"下列何者為「二兵」的階級識別標誌（臂章或領章）？","一勾（一粗折槓）","二勾（二粗折槓）","三勾","一槓","A","國軍階級識別：二兵為一粗折槓（俗稱一勾），一兵為二粗折槓。","陸海空軍服制條例"
"若因病或因事請假，卻偽造證明文件（如假造訃聞），可能觸犯何種罪行？","詐欺罪或偽造文書罪","只是違規沒犯法","竊盜罪","毀損罪","A","偽造請假證明屬於刑事犯罪（偽造文書），且違反軍紀，將受嚴厲處分。","陸海空軍刑法"
"新兵在操作「大部分解」或「結合」槍枝時，最重要的原則是？","速度第一","不掉落零件且依序放置","可以隨意亂放","用力敲打","B","槍枝分解結合首重零件保管與順序，嚴禁暴力拆卸或遺失細小零件（如插銷）。","輕兵器保養手冊"
"軍中「早點名」的主要目的為何？","清查人數與精神講話","純粹罰站","看日出","吃早餐","A","早點名旨在確認全連人員是否到齊（有無逃亡或身體不適），並宣達當日注意事項。","國軍內部管理實務"
"依據規定，軍人著制服時，能否邊走邊吃東西？","可以，只要不被看到","絕對禁止","看食物種類","長官可以","B","軍人身著制服代表國家形象，嚴禁邊走邊吃或隨地坐臥。","國軍軍風紀維護實施規定"
"部隊行進間，若聽到「立定」口令，應先做什麼動作？","立刻停下","靠腿","繼續走三步","先在左腳煞車，再靠右腳","D","聽到立定口令（通常落在左腳），應再跨出右腳一步後，左腳靠上右腳成立正姿勢。","國軍基本教練"
"關於「刺刀」的形狀與特徵，T91/T65K2 步槍刺刀通常為？","單面刃","雙面刃","無刃","鋸齒狀","B","現役刺刀多具備雙面刃設計，且具備剪鐵絲網功能（配合刀鞘）。","兵工裝備諸元手冊"
"新訓期間若要打電話回家，通常是在什麼時間開放？","上課時間","午休或晚餐後之盥洗時段","隨時","半夜","B","手機使用通常管制於中午或晚間休息時間（視單位作息與表現而定）。","新兵生活管理實務"
"下列哪一個號碼是「反詐騙專線」，若接到可疑兵役電話可查證？","110","119","165","1985","C","遇到自稱部隊長官借錢或怪異兵役通知，應撥打 165 反詐騙專線查證。","警政署反詐騙宣導"
"在毒氣室體驗（核生化訓練）中，最主要的防護裝備是？","鋼盔","S腰帶","防毒面具","防彈背心","C","核生化訓練核心在於迅速且正確配戴防毒面具，以阻隔催淚性氣體（CS膠囊）。","核生化防護教範"
"國軍基本教練中，「向右轉」應以哪隻腳的腳跟為軸心？","左腳","右腳","雙腳","腳尖","B","向右轉：以右腳跟為軸心，左腳尖為輔助；向左轉則相反。","國軍基本教練"
"若在營區內發現有人「賭博」，應如何處理？","加入他們","借錢給他們","立即回報幹部","裝作沒看到","C","營區內嚴禁賭博（含撲克牌、手遊博弈），違者依軍紀處分甚至法辦。","國軍軍風紀維護實施規定"
"軍用罐頭（如紅燒牛肉罐頭）通常在什麼情況下會大量配發食用？","每天早餐","戰備演練或推陳（快過期）時","過年","生日","B","戰備口糧與罐頭通常在演習視同戰時用餐，或是庫存需「推陳」更新時才會配發。","國軍糧秣補給作業規定"
"關於「軍人身分證（補給證）」的用途，下列何者錯誤？","就醫優免證明","身分識別","可以拿去抵押借錢","進出營門查驗","C","軍人身分證屬公文書，嚴禁抵押、借貸或轉借他人使用，違者法辦。","國軍人員身分證管理規定"
"新訓中心實施「手榴彈投擲」時，新兵手中持有的是？","實彈","練習彈（鐵球）","煙霧彈","閃光彈","B","新訓鑑測多使用與實彈同重之「練習彈（實心鐵球）」進行測驗，僅特定課程才會有實彈體驗。","體能戰技測驗標準"
"當值星官下達「清槍」口令時，第一步動作通常是？","扣板機","卸彈匣","拉拉柄","開保險","B","清槍第一步必先「卸彈匣」，確保火藥來源移除，再檢查藥室有無子彈。","輕兵器射擊訓練手冊"
"下列何者是步槍射擊時的正確「閉氣」時機？","瞄準到擊發瞬間","全程憋氣","拉拉柄時","射擊後","A","射擊瞬間閉氣可穩定槍身，避免呼吸導致準星晃動。","輕兵器射擊訓練手冊"
"軍中「休假離營宣教」時，長官最常強調的「酒駕零容忍」原則是指？","喝一點沒關係","騎腳踏車可以喝","喝酒絕對不開車/騎車","喝啤酒可以","C","國軍對酒駕採「零容忍」政策，凡酒駕者一律重懲（撤職、記大過）。","國軍軍風紀維護實施規定"
"若不小心損壞軍用裝備（如水壺漏水、槍背帶斷裂），應如何處理？","偷偷跟鄰兵交換","用三秒膠黏","立即報告並申請更換/維修","丟掉裝傻","C","裝備損壞應依程序報修或更換，竊取鄰兵裝備（大風吹）會造成嚴重內部糾紛。","國軍裝備保養規定"
"下列何種髮型符合男性軍人（非新兵階段）的儀容標準？","染金色","龐克頭","兩側推短、後腦杓推高之短髮","長髮過肩","C","國軍標準髮型要求兩側鬢角推短，後腦髮根推高，不得染怪異髮色。","國軍儀容規定"
"在營區內走路，若遇到「升降旗」儀式正在進行，且無法看到國旗，應如何動作？","繼續走","原地立正，面向音樂方向致敬","坐下","跑步離開","B","聞升降旗歌聲，雖未見國旗，仍應原地立正向音樂方向致敬。","國軍內部管理實務"
"關於「識別證」的配戴，通常應掛於身體何處？","左胸口袋上緣或掛於頸部","褲子口袋","背面","拿在手上","A","識別證應配戴於左胸顯眼處或掛於頸部，以便衛哨與幹部識別。","營區門禁管制規定"
"軍人必須恪守的「行政中立」原則，意指？","不能投票","不得參與政黨活動或被迫支持特定候選人","可以穿軍服幫候選人站台","可以利用職權影響他人投票","B","軍人應超出個人、地域及黨派關係以外，依法保持政治中立。","國防法/行政中立"
"新兵入伍時填寫的「AB卡」（兵籍資料），若隱瞞前科或身心病史，會有什麼後果？","沒事","可能會影響後續分發或權益","會被獎勵","會直接退伍","B","兵籍資料應誠實填寫，隱瞞病史可能導致無法獲得適當醫療照顧或發生意外。","徵兵規則"
"部隊中「中山室」的全名通常是指？","中山紀念室","孫中山休息室","中山堂","文康中心","A","中山室（中山紀念室）具備餐廳、教室與文康休閒功能。","國軍內部管理實務"
"下列何種行為構成「逃亡」罪嫌？","逾假未歸或無故離去","遲到五分鐘","請假被駁回","不想起床","A","無故離去或假期結束不歸營，達一定時數即構成逃亡（無故離去罪）。","陸海空軍刑法"
"軍中使用的「S腰帶」，其「S」通常代表什麼意思？","Super","Small","Sliding (S-keeper) 或指其扣環形狀","Soft","C","S腰帶名稱源自其 S 型扣環 (S-shaped buckle) 或調整扣 (Slide keeper)。","[軍中小熱知識] 裝備"
"若在操課中發生中暑症狀（頭暈、噁心），鄰兵應協助的第一件事是？","移至陰涼通風處並鬆開衣物","灌熱水","叫他繼續跑","蓋棉被","A","中暑急救第一步：移至陰涼處、鬆開衣物散熱、灑水降溫並補充水分。","國軍中暑防治作業手冊"
"下列何者為國軍現行使用的「少尉」階級識別標誌（肩章）？","一條細槓","一條粗槓（一槓）","一顆梅花","兩顆梅花","B","少尉階級為一條粗槓（俗稱一槓），中尉為二槓，上尉為三槓。","陸海空軍服制條例"
"T91 步槍的射擊選擇桿（快慢機）上，「S」代表什麼意思？","單發 (Single)","保險 (Safe)","三發點放","連發","B","T91 選擇桿標示：S為保險(Safe)，1為單發，3為三發點放，A為全自動。","輕兵器射擊訓練手冊"
"在實施 CPR（心肺復甦術）時，目前的標準急救順序口訣是？","A-B-C (呼吸道-呼吸-胸外按壓)","C-A-B (胸外按壓-呼吸道-呼吸)","叫-叫-A-B-C","隨便做","B","最新急救準則強調優先建立循環，故順序調整為 C (Compressions 按壓) -> A (Airway 呼吸道) -> B (Breathing 呼吸)。","國軍緊急救護訓練手冊"
"新兵在部隊中聽到「向右看─齊」口令時，頭部應向哪個方向轉動？","向左","向右","不動","向上","B","排頭不動，其餘人員頭向右轉（看排頭），並以碎步調整隊伍標齊。","國軍基本教練"
"若在營區內遭遇「性騷擾」事件，下列何者是正確的處理方式？","隱忍不說","向加害人道歉","立即向幹部或申訴管道（1985）反映","在網路上爆料","C","國軍對性騷擾採零容忍態度，受害者應立即循管道申訴，由性平會介入調查。","國軍人員性騷擾處理實施規定"
"軍用防毒面具在配戴時，標準的「合格時限」通常為幾秒內完成？","3秒","9秒","30秒","1分鐘","B","核生化訓練標準要求在 9 秒內完成防毒面具配戴並測試氣密。","核生化防護教範"
"關於「禁閉室（悔過室）」的設置，現行法規是否還存在？","已完全廢除","改稱為「悔過」，仍存在但著重於法治教育","改為坐牢","改為罰錢","B","洪仲丘案後，禁閉室制度改革為「悔過」，著重於法治教育與反省，不再實施高強度體罰。","陸海空軍懲罰法"
"T91 步槍的大部分解順序，第一步（卸下彈匣後）通常是拆下什麼？","槍機","槍背帶","槍管","護木","B","大部分解順序：卸彈匣、檢查藥室無子彈後，通常先拆下槍背帶，再依序分解。","輕兵器保養手冊"
"在夜間站哨時，若聽到有人接近，第一動作應為？","直接開槍","大聲詢問口令（站住、口令、誰）","裝作沒看到","逃跑","B","夜間衛哨守則規定，遇不明人士接近應先喝止並查驗口令與身分。","衛哨勤務教範"
"國軍配發的「數位迷彩服」，其設計主要功能為何？","美觀","適應多地形隱蔽與抗紅外線偵測","保暖","防水","B","數位迷彩圖案能破壞視覺輪廓，並具備一定的抗紅外線夜視偵測能力。","國軍服裝研改說明"
"若在休假期間接到自稱「部隊長官」要求匯款或借錢的電話，應如何處置？","立刻匯款","遵從命令","撥打165或向原單位查證","不予理會","C","此為常見詐騙手法（猜猜我是誰），應透過官方管道或原單位電話查證。","反詐騙宣導資料"
"單兵戰鬥教練中，關於「低姿匍匐」的適用時機，下列何者正確？","遮蔽物較高時","遮蔽物低於60公分或敵火猛烈時","行軍時","睡覺時","B","當掩蔽物高度極低（如草叢、鐵絲網下）或敵火猛烈時，採低姿匍匐以降低被彈率。","單兵戰鬥教練手冊"
"下列何者是「士官長」的階級識別特徵？","粗折槓（勾）搭配一條紅線","只有粗折槓","金屬槓","梅花","A","士官長階級圖示為粗折槓上方搭配「二粗一細」等不同數量的紅色弧線。","陸海空軍服制條例"
"軍中規定的「就寢時間」通常為晚間幾點？","21:00","21:30或22:00","23:00","00:00","B","夏令時間通常為 22:00 就寢，冬令或新訓單位可能提早至 21:30 或 21:50 實施。","國軍內部管理實務"
"T91 步槍彈匣的標準裝彈量為幾發？","10發","20發","30發","50發","C","國軍制式步槍（T91/T65K2）彈匣標準容量皆為 30 發。","兵工裝備諸元手冊"
"下列關於軍人「出國旅遊」的規定，何者正確？","想去就去，不用報備","完全禁止出國","需事先申請核准，且不得前往特定管制地區（如中國大陸）","只能去日本","C","軍人出國需依規定事先申請核准，且目前前往中國大陸地區仍受嚴格管制。","國軍人員出國作業規定"
"在靶場射擊時，若發生「卡彈」故障，槍口應保持向何處？","向後","向上","向目標區（前方）","看自己腳下","C","發生故障時，槍口應始終指向目標區（安全方向），嚴禁對人或轉向後方。","輕兵器射擊訓練手冊"
"新訓期間發放的「水壺」，材質通常為？","玻璃","不鏽鋼或耐熱塑膠","陶磁","紙製","B","現行公發水壺多為不鏽鋼材質（舊式為塑膠），可裝熱水並直接加熱（不鏽鋼款）。","個人裝備介紹"
"關於「站衛兵」時的服裝儀容，下列何者錯誤？","須全副武裝（戴鋼盔、紮S腰帶）","可以穿拖鞋","需配戴臂章或識別證","服裝需整齊清潔","B","衛哨勤務代表營區門面與安全，嚴禁穿著拖鞋或服裝不整。","衛哨勤務教範"
"國軍對於「毒品」的態度為何？","偶爾吸食沒關係","零容忍，定期實施尿篩","放假可以吸","看運氣","B","國軍對毒品採絕對零容忍，入伍時及服役期間皆會不定期實施尿液篩檢。","國軍反毒教育宣導"
"當部隊進行「早點名」唱軍歌時，要求的重點為何？","音準要好","聲音宏亮、精神飽滿","歌詞隨便唱","小聲哼唱","B","軍歌演唱首重氣勢與團結，聲音宏亮與精神飽滿比音準更重要。","新兵生活管理實務"
